,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,GPT-3 term in Google,token added to Google
96,thymalfasin,ethchlorvynol,False,False,False,
97,thymalfasins,ethchlorvynol,False,False,False,
98,pyribenzoxanes,ethchlorvynol,False,False,False,
99,prochlorperazine,ethchlorvynol,prochlorperazine,False,False,
100,perphenazine,ethchlorvynol,perphenazine,False,False,
101,tricyclic_antidepressants,ethchlorvynol,False,False,False,
102,neuroleptics,ethchlorvynol,sarizotan,False,False,
103,methyl-,ethchlorvynol,False,False,False,
104,ethyl_chloride,ethchlorvynol,ethyl_chloride,False,False,
105,vinyl_chloride,ethchlorvynol,False,False,False,
106,ethyl_chloroformate,ethchlorvynol,False,False,False,
107,ethyl_chloride,ethchlorvynol,ethyl_chloride,False,False,
108,chloroform,ethchlorvynol,False,False,False,
109,chloroethylene,ethchlorvynol,False,False,False,
110,freon,ethchlorvynol,False,False,False,
111,surraunol,ethchlorvynol,False,False,False,
112,chloral,ethchlorvynol,chloral_hydrate,False,False,
113,chloral_hydrate,ethchlorvynol,chloral_hydrate,False,False,
114,trichloroethanol,ethchlorvynol,False,False,False,
115,trichloroethene,ethchlorvynol,trichloroethylene,False,False,
116,pentachloroethane,ethchlorvynol,False,False,False,
117,prothiophanes,ethchlorvynol,False,False,False,
118,vicinal_chlorhydrins,ethchlorvynol,False,False,False,
119,glycet,ethchlorvynol,False,False,False,
120,trankyl,ethchlorvynol,False,False,False,
121,chloryl,ethchlorvynol,False,False,False,
122,chloryls,ethchlorvynol,False,False,False,
123,chloesynth,ethchlorvynol,False,False,False,
124,chlorvynol,ethchlorvynol,False,False,True,
125,ethchlorhydrin,ethchlorvynol,False,False,False,
126,vinyl_chloride,ethchlorvynol,False,False,False,
127,dineryl,ethchlorvynol,False,False,False,
128,chloryl,ethchlorvynol,False,False,False,
129,glycollate,ethchlorvynol,False,False,False,
130,glycinate,ethchlorvynol,magnesium_glycinate,False,False,
131,glycyl,ethchlorvynol,False,False,False,
132,triclofos,ethchlorvynol,False,False,False,
133,triclofoss,ethchlorvynol,False,False,False,
134,barbiturates,ethchlorvynol,False,False,False,
135,downers,ethchlorvynol,False,False,False,
136,chloroform,ethchlorvynol,False,False,False,
137,chlorodifluoromethane,ethchlorvynol,False,False,False,
138,dichlorodifluoromethane,ethchlorvynol,False,False,False,
139,chlorofluorocarbons,ethchlorvynol,False,False,False,
140,monochlorodifluoromethane,ethchlorvynol,False,False,False,
141,hubbutal,ethchlorvynol,False,False,False,
142,hubbutals,ethchlorvynol,False,False,False,
143,quinalbarbitone,ethchlorvynol,False,False,False,
144,quinalbarbitones,ethchlorvynol,False,False,False,
145,hexobarbital,ethchlorvynol,hexobarbital,False,False,
146,hexobarbitals,ethchlorvynol,False,False,False,
147,phenobarbital,ethchlorvynol,phenobarbital,False,False,
148,glycidyls,ethchlorvynol,False,False,False,
149,ethchlorvynols,ethchlorvynol,False,False,True,
150,quinalepsin,ethchlorvynol,False,False,False,
151,sanochlor,ethchlorvynol,False,False,False,
152,somnafac,ethchlorvynol,False,False,False,
153,scopalamine,ethchlorvynol,scopolamine,False,False,
154,stelabid,ethchlorvynol,False,False,False,
155,trilafon,ethchlorvynol,perphenazine,False,False,
156,vivactil,ethchlorvynol,protriptyline,False,False,
157,prochlorperazine,ethchlorvynol,prochlorperazine,False,False,
158,trimeprazine,ethchlorvynol,False,False,False,
159,chlorvynol,ethchlorvynol,False,False,True,
160,ethchlorvoyl,ethchlorvynol,False,False,False,
161,daysy,ethchlorvynol,False,False,False,
162,chloralhydrate,ethchlorvynol,False,False,False,
163,trichloroethanol,ethchlorvynol,False,False,False,
164,trichloroethene,ethchlorvynol,trichloroethylene,False,False,
165,chloroethane,ethchlorvynol,ethyl_chloride,False,False,
166,tetrachloroethylene,ethchlorvynol,False,False,False,
167,placydils,ethchlorvynol,False,False,True,
168,benzedrine,ethchlorvynol,False,False,False,
169,tranks,ethchlorvynol,False,False,False,
170,edylchlor,ethchlorvynol,False,False,False,
171,orphenadrine,ethchlorvynol,orphenadrine,False,False,
172,ativan,ethchlorvynol,lorazepam,False,False,
173,tranxene,ethchlorvynol,clorazepate,False,False,
174,valium,ethchlorvynol,diazepam,False,False,
175,xanax,ethchlorvynol,alprazolam,False,False,
176,klonopin,ethchlorvynol,clonazepam,False,False,
177,librium,ethchlorvynol,chlordiazepoxide,False,False,
178,aquachlor,ethchlorvynol,False,False,False,
179,mythyliodide,ethchlorvynol,False,False,False,
180,trichloroethylene,ethchlorvynol,trichloroethylene,False,False,
181,chloroform,ethchlorvynol,False,False,False,
182,chloroethylene,ethchlorvynol,False,False,False,
183,vinyl_chloride,ethchlorvynol,False,False,False,
184,chloroethene,ethchlorvynol,False,False,False,
185,thiopental,ethchlorvynol,thiopental,False,False,
186,chloralhydrate,ethchlorvynol,False,False,False,
187,trichloroethanol,ethchlorvynol,False,False,False,
188,modiolus,ethchlorvynol,False,False,False,
189,obidoxime,ethchlorvynol,False,False,False,
190,chlorobutanol,ethchlorvynol,chlorobutanol,False,False,
191,chloralbutol,ethchlorvynol,False,False,False,
192,ropoxyphene,ethchlorvynol,False,False,False,
193,didrex,ethchlorvynol,benzphetamine,False,False,
194,benzphetamine,ethchlorvynol,benzphetamine,False,False,
195,fenproporex,ethchlorvynol,False,False,False,
196,illegal_drugs,ethchlorvynol,medical_cannabis,False,False,
197,chloroethanol,ethchlorvynol,ethyl_chloride,False,False,
198,glycydil,ethchlorvynol,False,False,False,
199,trichloroethylene,ethchlorvynol,trichloroethylene,False,False,
200,trichloroethane,ethchlorvynol,False,False,False,
201,perchloroethylene,ethchlorvynol,False,False,False,
202,perchloroethane,ethchlorvynol,False,False,False,
203,dichloroethylene,ethchlorvynol,trichloroethylene,False,False,
204,dichloroethane,ethchlorvynol,False,False,False,
205,placisil,ethchlorvynol,False,False,False,
206,placsidyl,ethchlorvynol,False,False,False,
207,plaxidyl,ethchlorvynol,False,False,False,
208,plaksidyl,ethchlorvynol,False,False,False,
209,plasidyl,ethchlorvynol,False,False,True,
210,ethyl_alcohol,ethchlorvynol,ethanol,False,False,
211,dylovers,ethchlorvynol,False,False,False,
212,triazenes,ethchlorvynol,False,False,False,
213,ethchlorphenate,ethchlorvynol,False,False,False,
214,glycidyls,ethchlorvynol,False,False,False,
215,chloroethane,ethchlorvynol,ethyl_chloride,False,False,
216,chloroethanes,ethchlorvynol,False,False,False,
217,chloroethyl,ethchlorvynol,False,False,False,
218,chloroethyls,ethchlorvynol,False,False,False,
219,chloroethylene,ethchlorvynol,False,False,False,
220,chloroethylenes,ethchlorvynol,False,False,False,
221,ethyl_chloride,ethchlorvynol,ethyl_chloride,False,False,
222,ethyl_chlorides,ethchlorvynol,False,False,False,
223,vinyl_chloride,ethchlorvynol,False,False,False,
224,vinyl_chlorides,ethchlorvynol,False,False,False,
225,chlordiazepoxide,ethchlorvynol,chlordiazepoxide,False,False,
226,chlorazepate,ethchlorvynol,clorazepate,False,False,
227,diazepam,ethchlorvynol,diazepam,False,False,
228,lorazepam,ethchlorvynol,lorazepam,False,False,
229,alprazolam,ethchlorvynol,alprazolam,False,False,
230,oxazepam,ethchlorvynol,oxazepam,False,False,
231,temazepam,ethchlorvynol,temazepam,False,False,
232,myclobutanil,ethchlorvynol,False,False,False,
233,trichloroethylene,ethchlorvynol,trichloroethylene,False,False,
234,"1,2-dichloroethane",ethchlorvynol,False,False,False,
235,tetrachloroethylene,ethchlorvynol,False,False,False,
236,vinyl_chloride,ethchlorvynol,False,False,False,
237,prochlorperazine,ethchlorvynol,prochlorperazine,False,False,
238,tetrachloroethylene,ethchlorvynol,False,False,False,
239,trichloroethylene,ethchlorvynol,trichloroethylene,False,False,
240,ethchlorhydrin,ethchlorvynol,False,False,False,
241,chlorvynol,ethchlorvynol,False,False,True,
242,miltown,ethchlorvynol,meprobamate,False,False,
243,chloroethylene,ethchlorvynol,False,False,False,
244,chlorovinyl,ethchlorvynol,False,False,True,
245,chloroethane,ethchlorvynol,ethyl_chloride,False,False,
246,vinyl_chloride,ethchlorvynol,False,False,False,
247,thymoxamine,ethchlorvynol,False,False,False,
248,mesocarb,ethchlorvynol,False,False,False,
249,methylenedioxymethamphetamine,ethchlorvynol,midomafetamine,False,False,
250,prochlorperazine,ethchlorvynol,prochlorperazine,False,False,
251,trimeprazine,ethchlorvynol,False,False,False,
252,propyl,ethchlorvynol,False,False,False,
253,dipropyl,ethchlorvynol,False,False,False,
254,isopropyl,ethchlorvynol,False,False,False,
255,methyl,ethchlorvynol,False,False,False,
256,butyl,ethchlorvynol,False,False,False,
257,isobutyl,ethchlorvynol,False,False,False,
258,sec-butyl,ethchlorvynol,False,False,False,
259,tert-butyl,ethchlorvynol,False,False,False,
260,glycidyls,ethchlorvynol,False,False,False,
261,chlorotrifluoroethylene,ethchlorvynol,False,False,False,
262,chlorotrifluoroethylenes,ethchlorvynol,False,False,False,
263,ethchloroethyl_alcohol,ethchlorvynol,False,False,False,
264,prochlorperazine,ethchlorvynol,prochlorperazine,False,False,
265,chlorpromazine,ethchlorvynol,chlorpromazine,False,False,
266,phenothiazine,ethchlorvynol,False,False,False,
267,triflupromazine,ethchlorvynol,False,False,False,
268,fluphenazine,ethchlorvynol,fluphenazine,False,False,
269,thioproperazine,ethchlorvynol,False,False,False,
270,perphenazine,ethchlorvynol,perphenazine,False,False,
271,chlorvynol,ethchlorvynol,False,False,True,
272,phenetidine,ethchlorvynol,False,False,False,
273,trichloroethylene,ethchlorvynol,trichloroethylene,False,False,
274,chloroethane,ethchlorvynol,ethyl_chloride,False,False,
275,dichloroethylene,ethchlorvynol,trichloroethylene,False,False,
276,vinyl_chloride,ethchlorvynol,False,False,False,
277,aquachloralin,ethchlorvynol,False,False,False,
278,chlormethynal,ethchlorvynol,False,False,False,
279,dyl,ethchlorvynol,False,False,False,
280,chlorovynol,ethchlorvynol,False,False,True,
281,chloroethane,ethchlorvynol,ethyl_chloride,False,False,
282,trichloroethylene,ethchlorvynol,trichloroethylene,False,False,
283,tetrachloroethylene,ethchlorvynol,False,False,False,
284,chloroform,ethchlorvynol,False,False,False,
285,carbon_tetrachloride,ethchlorvynol,activated_charcoal,False,False,
286,ether,ethchlorvynol,False,False,False,
287,alcohol,ethchlorvynol,ethanol,False,False,
288,lorax,ethchlorvynol,False,False,False,
289,surital,ethchlorvynol,False,False,False,
290,propanediol,ethchlorvynol,False,False,False,
291,octanol,ethchlorvynol,ethanol,False,False,
292,butanol,ethchlorvynol,ethanol,False,False,
293,decanol,ethchlorvynol,False,False,False,
294,nonanol,ethchlorvynol,False,False,False,
295,dodecanol,ethchlorvynol,False,False,False,
296,abate,ethchlorvynol,False,False,False,
297,amytal,ethchlorvynol,amobarbital,False,False,
298,prochlorperazine,ethchlorvynol,prochlorperazine,False,False,
299,trichloroethylene,ethchlorvynol,trichloroethylene,False,False,
300,chloralhydrates,ethchlorvynol,False,False,False,
301,chlordiazepoxide,ethchlorvynol,chlordiazepoxide,False,False,
302,diazepam,ethchlorvynol,diazepam,False,False,
303,ethchloroform,ethchlorvynol,False,False,False,
304,chloroformyl,ethchlorvynol,False,False,False,
305,chloroethyl,ethchlorvynol,False,False,False,
306,chlorovynol,ethchlorvynol,False,False,True,
307,chlorohydrin,ethchlorvynol,False,False,False,
308,chloral,ethchlorvynol,chloral_hydrate,False,False,
309,chloroacetaldehyde,ethchlorvynol,False,False,False,
310,petrochloroform,ethchlorvynol,False,False,False,
311,chlorvon,ethchlorvynol,False,False,False,
312,ecgonyl,ethchlorvynol,False,False,False,
313,prolixin,ethchlorvynol,fluphenazine,False,False,
314,stelazine,ethchlorvynol,trifluoperazine,False,False,
315,trilafon,ethchlorvynol,perphenazine,False,False,
316,chlorhydrate,ethchlorvynol,False,False,False,
317,ethyl_vynol,ethchlorvynol,False,False,False,
318,serenics,ethchlorvynol,False,False,False,
319,chlordiazepoxide,ethchlorvynol,chlordiazepoxide,False,False,
320,diazepam,ethchlorvynol,diazepam,False,False,
321,flurazepam,ethchlorvynol,flurazepam,False,False,
322,hexobarbital,ethchlorvynol,hexobarbital,False,False,
323,methohexital,ethchlorvynol,methohexital,False,False,
324,pentobarbital,ethchlorvynol,pentobarbital,False,False,
325,phenobarbital,ethchlorvynol,phenobarbital,False,False,
326,thiopental,ethchlorvynol,thiopental,False,False,
327,glycidyls,ethchlorvynol,False,False,False,
328,chloroethane,ethchlorvynol,ethyl_chloride,False,False,
329,chloroethanes,ethchlorvynol,False,False,False,
330,ethyl_chloride,ethchlorvynol,ethyl_chloride,False,False,
331,ethyl_chlorides,ethchlorvynol,False,False,False,
332,chloride_ethane,ethchlorvynol,False,False,False,
333,chloride_ethanes,ethchlorvynol,False,False,False,
334,plasdil,ethchlorvynol,False,False,False,
335,dynepo,ethchlorvynol,False,False,False,
336,atlagesic,ethchlorvynol,False,False,False,
337,prochlorperazine,ethchlorvynol,prochlorperazine,False,False,
338,prazepam,ethchlorvynol,prazepam,False,False,
339,dinynol,ethchlorvynol,False,False,False,
340,etoxide,ethchlorvynol,False,False,False,
341,trifluoperazine,ethchlorvynol,trifluoperazine,False,False,
342,loxapine,ethchlorvynol,loxapine,False,False,
343,acetophenone,ethchlorvynol,acetophenone,False,False,
344,iproniazid,ethchlorvynol,iproniazid,False,False,
345,isocarboxazid,ethchlorvynol,isocarboxazid,False,False,
346,phenelzine,ethchlorvynol,phenelzine,False,False,
347,tranylcypromine,ethchlorvynol,tranylcypromine,False,False,
348,thiopental,ethchlorvynol,thiopental,False,False,
349,barbiturate,ethchlorvynol,False,False,False,
350,quaalude,ethchlorvynol,methaqualone,False,False,
351,biocides,ethchlorvynol,False,False,False,
352,chloretone,ethchlorvynol,False,False,False,
353,noctec,ethchlorvynol,chloral_hydrate,False,False,
354,trickol,ethchlorvynol,False,False,False,
355,esconyl,ethchlorvynol,False,False,False,
356,prochlorperazine,ethchlorvynol,prochlorperazine,False,False,
357,promethazine,ethchlorvynol,promethazine,False,False,
358,chlorpromazine,ethchlorvynol,chlorpromazine,False,False,
359,thioridazine,ethchlorvynol,thioridazine,False,False,
360,mesoridazine,ethchlorvynol,False,False,False,
361,loxapine,ethchlorvynol,loxapine,False,False,
362,amitriptyline,ethchlorvynol,amitriptyline,False,False,
363,epichlorohydrin,ethchlorvynol,False,False,False,
364,chloroformaldehyde,ethchlorvynol,False,False,False,
365,hexachloroethane,ethchlorvynol,False,False,False,
366,perchloroethylene,ethchlorvynol,False,False,False,
367,chloroethylene,ethchlorvynol,False,False,False,
368,dichloroethylene,ethchlorvynol,trichloroethylene,False,False,
369,vinyl_chloride,ethchlorvynol,False,False,False,
370,placydyl,ethchlorvynol,False,False,False,
371,trichlormethiazide,ethchlorvynol,trichlormethiazide,False,False,
372,tarascon,ethchlorvynol,False,False,False,
373,placilid,ethchlorvynol,False,False,False,
374,sopor,ethchlorvynol,False,False,False,
375,lenitiv,ethchlorvynol,False,False,False,
376,dormutil,ethchlorvynol,False,False,False,
377,calea_z,ethchlorvynol,False,False,False,
378,glycidyls,ethchlorvynol,False,False,False,
379,quaalude,ethchlorvynol,methaqualone,False,False,
380,quaaludes,ethchlorvynol,methaqualone,False,False,
381,somnifaine,ethchlorvynol,False,False,False,
382,dormire,ethchlorvynol,midazolam,False,False,
383,tranq,ethchlorvynol,False,False,False,
384,tranquillizer,ethchlorvynol,False,False,False,
385,south-beach,ethchlorvynol,False,False,False,
386,ethchlorphenols,ethchlorvynol,False,False,False,
387,noctec,ethchlorvynol,chloral_hydrate,False,False,
388,chloralhydrate,ethchlorvynol,False,False,False,
389,chloral,ethchlorvynol,chloral_hydrate,False,False,
390,chloroform,ethchlorvynol,False,False,False,
391,chloral_hydrate,ethchlorvynol,chloral_hydrate,False,False,
392,trichloroethane,ethchlorvynol,False,False,False,
393,tetrachloroethylene,ethchlorvynol,False,False,False,
394,methylene_chloride,ethchlorvynol,False,False,False,
395,bisglycidyl,ethchlorvynol,False,False,False,
396,trichloroethylene,ethchlorvynol,trichloroethylene,False,False,
397,vinyl_chloride,ethchlorvynol,False,False,False,
398,chloroform,ethchlorvynol,False,False,False,
399,carbon_tetrachloride,ethchlorvynol,activated_charcoal,False,False,
400,vynol,ethchlorvynol,False,False,False,
401,ethchlorvynols,ethchlorvynol,False,False,True,
402,trankipam,ethchlorvynol,False,False,False,
403,noctec,ethchlorvynol,chloral_hydrate,False,False,
404,dormicum,ethchlorvynol,midazolam,False,False,
405,midazolam,ethchlorvynol,midazolam,False,False,
406,trade_name,ethchlorvynol,False,False,False,
407,roche,ethchlorvynol,False,False,False,
408,barbiturates,ethchlorvynol,False,False,False,
409,tricyclic_antidepressants,ethchlorvynol,False,False,False,
410,antihistamines,ethchlorvynol,False,False,False,
411,sedatives,ethchlorvynol,False,False,False,
412,ethyl_chloride,ethchlorvynol,ethyl_chloride,False,False,
413,chloroethane,ethchlorvynol,ethyl_chloride,False,False,
414,dichloroethane,ethchlorvynol,False,False,False,
415,chloroethylene,ethchlorvynol,False,False,False,
416,vinyl_chloride,ethchlorvynol,False,False,False,
417,chlorodyn,ethchlorvynol,False,False,False,
418,dynachlor,ethchlorvynol,False,False,False,
419,chlorothane,ethchlorvynol,False,False,False,
420,trichloroethane,ethchlorvynol,False,False,False,
421,tetrachloroethane,ethchlorvynol,False,False,False,
422,bars,ethchlorvynol,False,False,False,
423,blue_heaven,ethchlorvynol,False,False,False,
424,downers,ethchlorvynol,False,False,False,
425,purple_hearts,ethchlorvynol,False,False,False,
426,tranks,ethchlorvynol,False,False,False,
427,barbiturate,ethchlorvynol,False,False,False,
428,gylcidyl,ethchlorvynol,False,False,False,
429,palydil,ethchlorvynol,False,False,False,
430,meprobamate,ethchlorvynol,meprobamate,False,False,
431,equanil,ethchlorvynol,meprobamate,False,False,
432,miltown,ethchlorvynol,meprobamate,False,False,
433,chloroformaldehyde,ethchlorvynol,False,False,False,
434,dichloroacetaldehyde,ethchlorvynol,False,False,False,
435,chloral,ethchlorvynol,chloral_hydrate,False,False,
436,chloralose,ethchlorvynol,False,False,False,
437,trichloroethanol,ethchlorvynol,False,False,False,
438,trichloroethene,ethchlorvynol,trichloroethylene,False,False,
439,tetrachloroethene,ethchlorvynol,False,False,False,
440,quaalude,ethchlorvynol,methaqualone,False,False,
441,mellaril,ethchlorvynol,thioridazine,False,False,
442,phenergan,ethchlorvynol,promethazine,False,False,
443,thorazine,ethchlorvynol,chlorpromazine,False,False,
444,stelazine,ethchlorvynol,trifluoperazine,False,False,
445,trilafon,ethchlorvynol,perphenazine,False,False,
446,vistaril,ethchlorvynol,hydroxyzine,False,False,
447,estacy,ethchlorvynol,midomafetamine,False,False,
448,lsd,ethchlorvynol,lysergic_acid_diethylamide,False,False,
449,ethchlor,ethchlorvynol,False,False,False,
450,chloroethane,ethchlorvynol,ethyl_chloride,False,False,
451,diethyl_ether,ethchlorvynol,False,False,False,
452,ethyl_chloride,ethchlorvynol,ethyl_chloride,False,False,
453,vinyl_chloride,ethchlorvynol,False,False,False,
454,barbituric_acid,ethchlorvynol,False,False,False,
455,vinyls,ethchlorvynol,False,False,False,
456,chlorinated,ethchlorvynol,chlorine,False,False,
457,ethyls,ethchlorvynol,False,False,False,
458,ethanol,ethchlorvynol,ethanol,False,False,
459,clear,ethchlorvynol,False,False,False,
460,amber,ethchlorvynol,False,False,False,
461,meprobamate,ethchlorvynol,meprobamate,False,False,
462,tybamate,ethchlorvynol,False,False,False,
463,carisoprodol,ethchlorvynol,carisoprodol,False,False,
464,chloroprocaine,ethchlorvynol,chloroprocaine,False,False,
465,hexachlorophene,ethchlorvynol,hexachlorophene,False,False,
466,methylphenidate,ethchlorvynol,methylphenidate,False,False,
467,pentazocine,ethchlorvynol,pentazocine,False,False,
468,myletyl,ethchlorvynol,False,False,False,
469,chlorpropamide,ethchlorvynol,chlorpropamide,False,False,
470,dyclonine,ethchlorvynol,dyclonine,False,False,
471,prochlorperazine,ethchlorvynol,prochlorperazine,False,False,
472,promethazine,ethchlorvynol,promethazine,False,False,
473,trifluoperazine,ethchlorvynol,trifluoperazine,False,False,
474,vertigoheel,ethchlorvynol,False,False,False,
475,vynol,ethchlorvynol,False,False,False,
476,chlorhydrin,ethchlorvynol,False,False,False,
477,chlorhydrated_alcohol,ethchlorvynol,False,False,False,
478,mydriatic,ethchlorvynol,False,False,False,
479,anisocoria,ethchlorvynol,False,False,False,
480,epichlorhydrin,ethchlorvynol,False,False,False,
481,chloroform,ethchlorvynol,False,False,False,
482,dichloromethane,ethchlorvynol,False,False,False,
483,chlorobenzene,ethchlorvynol,False,False,False,
484,toluene,ethchlorvynol,toluene,False,False,
485,xylene,ethchlorvynol,toluene,False,False,
486,benzene,ethchlorvynol,False,False,False,
487,miltown,ethchlorvynol,meprobamate,False,False,
488,prochlorperazine,ethchlorvynol,prochlorperazine,False,False,
489,tricyclic_antidepressants,ethchlorvynol,False,False,False,
490,phenothiazines,ethchlorvynol,False,False,False,
491,stetex,ethchlorvynol,False,False,False,
492,thiopental,ethchlorvynol,thiopental,False,False,
493,prochlorperazine,ethchlorvynol,prochlorperazine,False,False,
494,trifluoperazine,ethchlorvynol,trifluoperazine,False,False,
495,"2,5-dimethyl-2,5-diphenylhexane-1,4-diol",ethchlorvynol,False,False,False,
496,ethchlor,ethchlorvynol,False,False,False,
497,chloroethyl,ethchlorvynol,False,False,False,
498,chloroethane,ethchlorvynol,ethyl_chloride,False,False,
499,sedative,ethchlorvynol,False,False,False,
500,ethchlorophenyl,ethchlorvynol,False,False,False,
501,chlorylphenyl,ethchlorvynol,False,False,False,
502,barbiturate,ethchlorvynol,False,False,False,
503,barbiturates,ethchlorvynol,False,False,False,
504,hypnotic,ethchlorvynol,False,False,False,
505,hypnotics,ethchlorvynol,zolpidem,False,False,
506,sedative,ethchlorvynol,False,False,False,
507,sedatives,ethchlorvynol,False,False,False,
508,sleep_aid,ethchlorvynol,False,False,False,
509,chloretones,ethchlorvynol,False,False,False,
510,methaqualone,ethchlorvynol,methaqualone,False,False,
511,quaalude,ethchlorvynol,methaqualone,False,False,
512,chlorothyl,ethchlorvynol,False,False,False,
513,chlorhydrin,ethchlorvynol,False,False,False,
514,dihydrochloride,ethchlorvynol,False,False,False,
515,etnyl,ethchlorvynol,False,False,False,
516,vinlethyl,ethchlorvynol,False,False,False,
517,alcohols,ethchlorvynol,ethanol,False,False,
518,trank,ethchlorvynol,False,False,False,
519,placydyl,ethchlorvynol,False,False,False,
520,pleth_chloro_ethyl_alcohol,ethchlorvynol,False,False,False,
521,pethchlorvynol,ethchlorvynol,False,False,False,
