,GPT-3 term,seed for prompt,Seed of GPT-3 term in RedMed,RedMed term inside GPT-3 term,GPT-3 term in Google,token added to Google
64,phendimetrazine,phentermine,phendimetrazine,False,True,
65,anorectic,phentermine,False,False,False,
66,anorexigenic,phentermine,False,False,True, pill
67,appetite_suppressant,phentermine,False,False,True, pill
68,plegine,phentermine,False,False,True, slang
69,obestin,phentermine,False,False,True,
70,ionamin,phentermine,False,False,True,
71,adipex-p,phentermine,False,False,True,
72,lomaira,phentermine,False,False,True,
73,suprenza,phentermine,False,False,True,
74,teramine,phentermine,False,False,True,
75,anorectant,phentermine,False,False,True, pill
76,weight_loss_medication,phentermine,False,False,True,
77,phentrol,phentermine,False,False,True,
78,thermodrene,phentermine,False,False,False,
79,adipokinetix,phentermine,False,False,False,
80,lipolysis,phentermine,False,False,False,
81,anorectant,phentermine,False,False,True, pill
82,hunger_suppression,phentermine,False,False,True, pill
83,lonamin,phentermine,False,False,True,
84,pro-_fast,phentermine,False,False,True,
85,phenethylamines,phentermine,phenethylamine,False,False,
86,lomaira,phentermine,False,False,True,
87,belviq,phentermine,lorcaserin,False,False,
88,didrex,phentermine,benzphetamine,False,True,
89,fastin,phentermine,phentermine,True,False,
90,ionamin,phentermine,False,False,True,
91,pro-fast,phentermine,False,False,True,
92,redux,phentermine,dexfenfluramine,False,False,
93,fenfluramine,phentermine,fenfluramine,False,True,
94,impramine,phentermine,False,False,False,
95,adipex-p,phentermine,False,False,True,
96,lomaira,phentermine,False,False,True,
97,suprenza,phentermine,False,False,True,
98,pro-fast,phentermine,False,False,True,
99,anorectic,phentermine,False,False,False,
100,suprenza,phentermine,False,False,True,
101,ionamin,phentermine,False,False,True,
102,phentrol,phentermine,False,False,True,
103,pro-fast,phentermine,False,False,True,
104,obertyl,phentermine,False,False,False,
105,obestin-30,phentermine,False,False,True,
106,anorectic,phentermine,False,False,False,
107,reductil,phentermine,sibutramine,False,True, slang
108,phentercot,phentermine,False,False,True,
109,adipex,phentermine,phentermine,True,True,
110,reductils,phentermine,False,False,True, slang
111,phentrazamine,phentermine,False,False,True,
112,sibutramine,phentermine,sibutramine,False,True,
113,anorectic,phentermine,False,False,False,
114,lomaira,phentermine,False,False,True,
115,suprenza,phentermine,False,False,True,
116,ionamin,phentermine,False,False,True,
117,adipex-p,phentermine,False,False,True,
118,fastin,phentermine,phentermine,True,False,
119,pro-fast,phentermine,False,False,True,
120,anorectant_no.1,phentermine,False,False,True,
121,phentamine,phentermine,pheniramine,False,True,
122,phentemine,phentermine,False,False,True,
123,adipex-p,phentermine,False,False,True,
124,ionamin,phentermine,False,False,True,
125,pro-fast,phentermine,False,False,True,
126,fastin,phentermine,phentermine,True,False,
127,anorex-p,phentermine,False,False,False,
128,didrex,phentermine,benzphetamine,False,True,
129,gate_pharmaceuticals,phentermine,False,False,True,
130,zeneca_inc.,phentermine,False,False,False,
131,kvk-tech,phentermine,False,False,True, pill
132,obetrol,phentermine,False,False,False,
133,oby-cap,phentermine,False,False,False,
134,oby-trim,phentermine,False,False,True,
135,teramine,phentermine,False,False,True,
136,weight_control_centers_of_america,phentermine,False,False,True,
137,pheter_maine,phentermine,False,False,False,
138,fentermine,phentermine,False,False,True,
139,pentamax,phentermine,False,False,False,
140,suprenza,phentermine,False,False,True,
141,pro-fast,phentermine,False,False,True,
142,phentamine,phentermine,pheniramine,False,True,
143,phentamines,phentermine,False,False,True,
144,adipex,phentermine,phentermine,True,True,
145,anorectant_no._10,phentermine,False,False,True,
146,auto-starve,phentermine,False,False,False,
147,blue_capsules,phentermine,False,False,False,
148,brain_tablets,phentermine,False,False,False,
149,diet_pills,phentermine,False,False,True,
150,express_dieters,phentermine,False,False,False,
151,famine_food,phentermine,False,False,False,
152,hardackers,phentermine,False,False,False,
153,lineapex,phentermine,False,False,False,
154,no_hungry,phentermine,False,False,True, drug
155,phen-q,phentermine,False,False,True, slang
156,phendimetrazine,phentermine,phendimetrazine,False,True,
157,phenq,phentermine,pentaerythritol_tetranitrate,False,True, drug
158,stimerex-es,phentermine,False,False,False,
159,fentermines,phentermine,False,False,True,
160,phenterenes,phentermine,False,False,False,
161,phenethylamine,phentermine,phenethylamine,False,False,
162,fentermine,phentermine,False,False,True,
163,pentammine,phentermine,False,False,False,
164,anorectic,phentermine,False,False,False,
165,appetitie_supressant,phentermine,False,False,True, pill
166,fen-phen,phentermine,False,False,True,
167,pheodorine,phentermine,False,False,False,
168,phentrazine,phentermine,False,False,True,
169,diethylpropion,phentermine,diethylpropion,False,False,
170,benzphetamine,phentermine,benzphetamine,False,False,
171,mazindol,phentermine,mazindol,False,False,
172,lonamin,phentermine,False,False,True,
173,phentrol,phentermine,False,False,True,
174,anorex,phentermine,diethylpropion,False,False,
175,suprenza,phentermine,False,False,True,
176,adipex,phentermine,phentermine,True,True,
177,phentremine,phentermine,False,False,True,
178,suppresses_appetite,phentermine,False,False,True, pill
179,pressacrine,phentermine,False,False,False,
180,adipex,phentermine,phentermine,True,True,
181,obestat,phentermine,False,False,True, slang
182,fentermine,phentermine,False,False,True,
183,diethylpropion,phentermine,diethylpropion,False,False,
184,bupropion,phentermine,bupropion,False,False,
185,lorcaserin,phentermine,lorcaserin,False,False,
186,orlistat,phentermine,orlistat,False,False,
187,sibutramine,phentermine,sibutramine,False,True,
188,rimonabant,phentermine,rimonabant,False,False,
189,adipex,phentermine,phentermine,True,True,
190,ionamin,phentermine,False,False,True,
191,phendimetrazine,phentermine,phendimetrazine,False,True,
192,pro-fast,phentermine,False,False,True,
193,fastin,phentermine,phentermine,True,False,
194,lomaira,phentermine,False,False,True,
195,qsymia,phentermine,phentermine,True,True,
196,anorectic,phentermine,False,False,False,
197,appetite_suppressant,phentermine,False,False,True, pill
198,duromine,phentermine,phentermine,True,True,
199,lomaira,phentermine,False,False,True,
200,qsymia,phentermine,phentermine,True,True,
201,fastin,phentermine,phentermine,True,False,
202,phentremine,phentermine,False,False,True,
203,pro-fast,phentermine,False,False,True,
204,saint-john's_wort,phentermine,False,False,False,
205,adipex-p,phentermine,False,False,True,
206,lomaira,phentermine,False,False,True,
207,pro-fast,phentermine,False,False,True,
208,fastin,phentermine,phentermine,True,False,
209,oby-trim,phentermine,False,False,True,
210,anorex-sr,phentermine,False,False,True, pill
211,phentrol,phentermine,False,False,True,
212,ionamin,phentermine,False,False,True,
213,obephen,phentermine,False,False,True,
214,pro-fast,phentermine,False,False,True,
215,phentamine,phentermine,pheniramine,False,True,
216,adipex-p,phentermine,False,False,True,
217,lomaira,phentermine,False,False,True,
218,qsymia,phentermine,phentermine,True,True,
219,diet_pills,phentermine,False,False,True,
220,phentermine_hydrochloride,phentermine,False,True,True,
221,lorcaserin,phentermine,lorcaserin,False,False,
222,bupropion,phentermine,bupropion,False,False,
223,naltrexone,phentermine,naltrexone,False,False,
224,topiramate,phentermine,topiramate,False,True, pill
225,herpes_simplex_virus-1,phentermine,False,False,False,
226,gabapentin,phentermine,gabapentin,False,False,
227,undon,phentermine,False,False,False,
228,adipex,phentermine,phentermine,True,True,
229,anorex,phentermine,diethylpropion,False,False,
230,fastin,phentermine,phentermine,True,False,
231,redux,phentermine,dexfenfluramine,False,False,
232,suprenza,phentermine,False,False,True,
233,teramine,phentermine,False,False,True,
234,lomaira,phentermine,False,False,True,
235,qsymia,phentermine,phentermine,True,True,
236,adipex-p,phentermine,False,False,True,
237,pro-fast,phentermine,False,False,True,
238,fastin-xr,phentermine,False,False,True, pill
239,ionamin,phentermine,False,False,True,
240,zantryl,phentermine,False,False,True,
241,lorcaserin,phentermine,lorcaserin,False,False,
242,bupropion/naltrexone,phentermine,False,False,False,
243,orlistat,phentermine,orlistat,False,False,
244,liraglutide,phentermine,liraglutide,False,False,
245,topiramate/phentermine,phentermine,False,False,True,
246,phentamine,phentermine,pheniramine,False,True,
247,adipex,phentermine,phentermine,True,True,
248,pro-fast,phentermine,False,False,True,
249,anorex,phentermine,diethylpropion,False,False,
250,fastin,phentermine,phentermine,True,False,
251,lonamin,phentermine,False,False,True,
252,meridia,phentermine,sibutramine,False,False,
253,phentamine,phentermine,pheniramine,False,True,
254,phentrol,phentermine,False,False,True,
255,suprol,phentermine,False,False,False,
256,fenteramine,phentermine,False,False,True,
257,pentamine,phentermine,False,False,True, pill
258,amine,phentermine,False,False,False,
259,baclofen,phentermine,baclofen,False,False,
260,buprenorphine,phentermine,buprenorphine,False,False,
261,buspirone,phentermine,buspirone,False,False,
262,carbamazepine,phentermine,carbamazepine,False,False,
263,clonidine,phentermine,clonidine,False,False,
264,dexamethasone,phentermine,dexamethasone,False,False,
265,diazepam,phentermine,diazepam,False,False,
266,diclofenac,phentermine,diclofenac,False,False,
267,diphenhydramine,phentermine,diphenhydramine,False,False,
268,doxylamine,phentermine,doxylamine,False,False,
269,ethosuximide,phentermine,ethosuximide,False,False,
270,etodolac,phentermine,etodolac,False,False,
271,flunarizine,phentermine,flunarizine,False,False,
272,gabapentin,phentermine,gabapentin,False,False,
273,idiopathic_intracranial_hypertension,phentermine,False,False,False,
274,isocarboxazid,phentermine,isocarboxazid,False,False,
275,lamotrigine,phentermine,lamotrigine,False,False,
276,levetiracetam,phentermine,levetiracetam,False,False,
277,lithium,phentermine,lithium,False,False,
278,mephenytoin,phentermine,False,False,False,
279,methocarbamol,phentermine,methocarbamol,False,False,
280,methotrexate,phentermine,methotrexate,False,False,
281,methyldopa,phentermine,methyldopa,False,False,
282,nalidixic_acid,phentermine,nalidixic_acid,False,False,
283,naproxen,phentermine,naproxen,False,False,
284,nifedipine,phentermine,nifedipine,False,False,
285,oxcarbazepine,phentermine,oxcarbazepine,False,False,
286,oxybutynin,phentermine,oxybutynin,False,False,
287,paroxetine,phentermine,paroxetine,False,False,
288,phenelzine,phentermine,phenelzine,False,False,
289,phenytoin,phentermine,phenytoin,False,False,
290,pindolol,phentermine,pindolol,False,False,
291,prochlorperazine,phentermine,prochlorperazine,False,False,
292,promethazine,phentermine,promethazine,False,False,
293,quetiapine,phentermine,quetiapine,False,False,
294,rizatriptan,phentermine,rizatriptan,False,False,
295,sertraline,phentermine,sertraline,False,False,
296,topiramate,phentermine,topiramate,False,True, pill
297,valproate,phentermine,valproic_acid,False,False,
298,verapamil,phentermine,verapamil,False,False,
299,zolmitriptan,phentermine,zolmitriptan,False,False,
300,anorectant_no.1,phentermine,False,False,True,
301,anorectant,phentermine,False,False,True, pill
302,appetite_suppressant,phentermine,False,False,True, pill
303,ionamin,phentermine,False,False,True,
304,obestin,phentermine,False,False,True,
305,pro-fast,phentermine,False,False,True,
306,fastin-xr,phentermine,False,False,True, pill
307,teramine,phentermine,False,False,True,
308,pausert?,phentermine,False,False,False,
309,lomaira,phentermine,False,False,True,
310,fastin,phentermine,phentermine,True,False,
311,adipex-p,phentermine,False,False,True,
312,ionamin,phentermine,False,False,True,
313,pro-fast,phentermine,False,False,True,
314,phentride,phentermine,False,False,True,
315,anorectic,phentermine,False,False,False,
316,appetite_suppressant,phentermine,False,False,True, pill
317,weight_loss_drug,phentermine,False,False,True,
318,adipex,phentermine,phentermine,True,True,
319,suprenza,phentermine,False,False,True,
320,ionamin,phentermine,False,False,True,
321,pro-fast,phentermine,False,False,True,
322,oby-trim,phentermine,False,False,True,
323,anorex-p,phentermine,False,False,False,
324,lomaira,phentermine,False,False,True,
325,fastin,phentermine,phentermine,True,False,
326,phentamine,phentermine,pheniramine,False,True,
327,suprenza,phentermine,False,False,True,
328,anorectic,phentermine,False,False,False,
329,appetite_suppressant,phentermine,False,False,True, pill
330,anorectic,phentermine,False,False,False,
331,anorexigenic,phentermine,False,False,True, pill
332,anorex,phentermine,diethylpropion,False,False,
333,obestin,phentermine,False,False,True,
334,pro-fast,phentermine,False,False,True,
335,phentrol,phentermine,False,False,True,
336,adipex-p,phentermine,False,False,True,
337,fastin,phentermine,phentermine,True,False,
338,ionamin,phentermine,False,False,True,
339,tenuate,phentermine,diethylpropion,False,True,
340,topamax,phentermine,topiramate,False,False,
341,phentremine,phentermine,False,False,True,
342,adipex-p,phentermine,False,False,True,
343,anorectics,phentermine,False,False,True, drug
344,phendermine,phentermine,False,False,True,
345,phentamine,phentermine,pheniramine,False,True,
346,phentermene,phentermine,False,False,True,
347,phentermin,phentermine,phentermine,True,True,
348,phentremine,phentermine,False,False,True,
349,phendermene,phentermine,False,False,False,
350,phentermone,phentermine,False,False,True,
351,suprenza,phentermine,False,False,True,
352,ionamin,phentermine,False,False,True,
353,qsymia,phentermine,phentermine,True,True,
354,belviq,phentermine,lorcaserin,False,False,
355,contrave,phentermine,naltrexone,False,False,
356,saxenda,phentermine,liraglutide,False,False,
357,phentremine,phentermine,False,False,True,
358,phenyl-tertiary-butyl_amine,phentermine,False,False,True,
359,obephen,phentermine,False,False,True,
360,phentolamine,phentermine,phentolamine,False,False,
361,pro-fast,phentermine,False,False,True,
362,anorex,phentermine,diethylpropion,False,False,
363,fastin,phentermine,phentermine,True,False,
364,ionamin,phentermine,False,False,True,
365,lorzone,phentermine,chlorzoxazone,False,False,
366,meridia,phentermine,sibutramine,False,False,
367,phendimetrazine,phentermine,phendimetrazine,False,True,
368,phenylpropanolamine,phentermine,phenylpropanolamine,False,False,
369,sibutramine,phentermine,sibutramine,False,True,
370,tenuate,phentermine,diethylpropion,False,True,
371,this_list_is_not_exhaustive,phentermine,False,False,False,
372,belviq,phentermine,lorcaserin,False,False,
373,desoxyn,phentermine,methamphetamine,False,False,
374,ionamin,phentermine,False,False,True,
375,lomaira,phentermine,False,False,True,
376,adipex,phentermine,phentermine,True,True,
377,suprenza,phentermine,False,False,True,
378,pro-fast,phentermine,False,False,True,
379,phentamine,phentermine,pheniramine,False,True,
380,pro-fast,phentermine,False,False,True,
381,reductil,phentermine,sibutramine,False,True, slang
382,sibutramine,phentermine,sibutramine,False,True,
383,xenical,phentermine,orlistat,False,False,
384,lomaira,phentermine,False,False,True,
385,obenix,phentermine,False,False,True,
386,obestin-30,phentermine,False,False,True,
387,phentrol,phentermine,False,False,True,
388,pro-fast,phentermine,False,False,True,
389,valox,phentermine,False,False,False,
390,adipex-p,phentermine,False,False,True,
391,lomaira,phentermine,False,False,True,
392,belviq,phentermine,lorcaserin,False,False,
393,qnexa,phentermine,False,False,True,
394,didrex,phentermine,benzphetamine,False,True,
395,tenuate,phentermine,diethylpropion,False,True,
396,bontril,phentermine,phendimetrazine,False,True, pill
397,lomaira,phentermine,False,False,True,
398,qsymia,phentermine,phentermine,True,True,
399,ionamin,phentermine,False,False,True,
400,obetrol,phentermine,False,False,False,
401,fastin,phentermine,phentermine,True,False,
402,lomaira,phentermine,False,False,True,
403,qsymia,phentermine,phentermine,True,True,
404,suprenza,phentermine,False,False,True,
405,teramine,phentermine,False,False,True,
406,lonamin,phentermine,False,False,True,
407,fastin,phentermine,phentermine,True,False,
408,phentrol,phentermine,False,False,True,
409,pro-fast,phentermine,False,False,True,
410,redux,phentermine,dexfenfluramine,False,False,
411,teramine,phentermine,False,False,True,
412,ex-lax,phentermine,False,False,False,
413,anorectics,phentermine,False,False,True, drug
414,adipex-p,phentermine,False,False,True,
415,anorectant_no.10,phentermine,False,False,True,
416,obestin-30,phentermine,False,False,True,
417,pink_pentagons,phentermine,False,False,False,
418,pro-fast,phentermine,False,False,True,
419,sentis,phentermine,False,False,True,
420,suprenza,phentermine,False,False,True,
421,phentamine,phentermine,pheniramine,False,True,
422,phentermine_hydrochloride,phentermine,False,True,True,
423,appetite_suppressant,phentermine,False,False,True, pill
424,astin,phentermine,False,False,False,
425,redux,phentermine,dexfenfluramine,False,False,
426,suprenza,phentermine,False,False,True,
427,tenuate,phentermine,diethylpropion,False,True,
428,topamax,phentermine,topiramate,False,False,
429,zonegran,phentermine,zonisamide,False,False,
430,phentamine,phentermine,pheniramine,False,True,
431,fentermine,phentermine,False,False,True,
432,pentorene,phentermine,False,False,False,
433,pnemerone,phentermine,False,False,False,
434,pnetrazine,phentermine,False,False,False,
435,prenolol,phentermine,False,False,False,
436,adipex-p,phentermine,False,False,True,
437,obestrin-30,phentermine,False,False,False,
438,phentrol,phentermine,False,False,True,
439,teramine,phentermine,False,False,True,
440,curamin,phentermine,suramin,False,False,
441,meridia,phentermine,sibutramine,False,False,
442,reductil,phentermine,sibutramine,False,True, slang
443,phentremine,phentermine,False,False,True,
444,phentrmie,phentermine,False,False,False,
445,phenphentermine,phentermine,False,False,True,
446,fictor,phentermine,False,False,False,
447,lorcaserin,phentermine,lorcaserin,False,False,
448,phentermine_hydrochloride,phentermine,False,True,True,
449,adipex-p,phentermine,False,False,True,
450,anorectics,phentermine,False,False,True, drug
451,appetite_suppressants,phentermine,False,False,True, pill
452,weight_loss_drugs,phentermine,False,False,True,
453,fat_burning_drugs,phentermine,False,False,True,
454,anorectic,phentermine,False,False,False,
455,anorexigenic,phentermine,False,False,True, pill
456,appetite_suppressant,phentermine,False,False,True, pill
457,phethroline,phentermine,False,False,False,
458,phenylteramine,phentermine,False,False,False,
459,adipexes,phentermine,False,False,True,
460,lomaira,phentermine,False,False,True,
461,phentamin,phentermine,False,False,True,
462,phentremine,phentermine,False,False,True,
463,pro-fast,phentermine,False,False,True,
464,fastin,phentermine,phentermine,True,False,
465,ionamin,phentermine,False,False,True,
466,teramine,phentermine,False,False,True,
467,lomaira,phentermine,False,False,True,
468,qsymia,phentermine,phentermine,True,True,
469,suprenza,phentermine,False,False,True,
470,fastin,phentermine,phentermine,True,False,
471,pro-fast,phentermine,False,False,True,
472,anorectic,phentermine,False,False,False,
473,anorexigenic,phentermine,False,False,True, pill
474,appetite_suppressant,phentermine,False,False,True, pill
475,lonamin,phentermine,False,False,True,
476,suprenza,phentermine,False,False,True,
477,phentrol,phentermine,False,False,True,
478,pro-fast,phentermine,False,False,True,
479,anorex-sr,phentermine,False,False,True, pill
480,oby-trim,phentermine,False,False,True,
481,phentride,phentermine,False,False,True,
482,phentarmeen,phentermine,False,False,False,
483,fenterimin,phentermine,False,False,False,
484,penterimin,phentermine,False,False,False,
485,phentermin,phentermine,phentermine,True,True,
486,phentermeen,phentermine,False,False,True,
487,anorectic,phentermine,False,False,False,
488,anorexigenic,phentermine,False,False,True, pill
489,adipex,phentermine,phentermine,True,True,
490,pro-fast,phentermine,False,False,True,
491,pheteramine,phentermine,False,False,True,
492,fenamine,phentermine,False,False,False,
493,fenfluramine,phentermine,fenfluramine,False,True,
494,furfenorex,phentermine,False,False,False,
495,diethylpropion,phentermine,diethylpropion,False,False,
496,sibutramine,phentermine,sibutramine,False,True,
497,amphetamine,phentermine,amphetamine,False,False,
498,phentrol,phentermine,False,False,True,
499,anorex,phentermine,diethylpropion,False,False,
500,obestat,phentermine,False,False,True, slang
501,redux,phentermine,dexfenfluramine,False,False,
502,adipex-p,phentermine,False,False,True,
503,lomaira,phentermine,False,False,True,
504,suprenza,phentermine,False,False,True,
505,ionamin,phentermine,False,False,True,
506,pro-fast,phentermine,False,False,True,
507,osymia,phentermine,False,False,True,
508,fastin,phentermine,phentermine,True,False,
509,lomaira,phentermine,False,False,True,
510,qysmia,phentermine,topiramate,False,True,
511,adipex,phentermine,phentermine,True,True,
512,adipex,phentermine,phentermine,True,True,
513,anorectic,phentermine,False,False,False,
514,lorcaserin,phentermine,lorcaserin,False,False,
515,bupropion,phentermine,bupropion,False,False,
516,topiramate,phentermine,topiramate,False,True, pill
517,naltrexone,phentermine,naltrexone,False,False,
518,diethylpropion,phentermine,diethylpropion,False,False,
519,phendimetrazine,phentermine,phendimetrazine,False,True,
520,adipex-p,phentermine,False,False,True,
521,lomaira,phentermine,False,False,True,
522,qsymia,phentermine,phentermine,True,True,
523,belviq,phentermine,lorcaserin,False,False,
524,contrave,phentermine,naltrexone,False,False,
525,tenuate,phentermine,diethylpropion,False,True,
526,bontril,phentermine,phendimetrazine,False,True, pill
527,reductil,phentermine,sibutramine,False,True, slang
528,xenical,phentermine,orlistat,False,False,
529,phenyltertamine,phentermine,False,False,False,
530,amfepramone,phentermine,diethylpropion,False,True,
531,diethylpropion,phentermine,diethylpropion,False,False,
532,phendimetrazine,phentermine,phendimetrazine,False,True,
533,bupropion,phentermine,bupropion,False,False,
534,sibutramine,phentermine,sibutramine,False,True,
535,fluoxetine,phentermine,fluoxetine,False,False,
536,adipex,phentermine,phentermine,True,True,
537,lorcaserin,phentermine,lorcaserin,False,False,
538,orlistat,phentermine,orlistat,False,False,
539,phentermine/topiramate,phentermine,False,False,True,
540,sibutramine,phentermine,sibutramine,False,True,
541,bupropion/naltrexone,phentermine,False,False,False,
542,diethylpropion,phentermine,diethylpropion,False,False,
543,phentamine,phentermine,pheniramine,False,True,
544,phentrimine,phentermine,False,False,True,
545,suprenza,phentermine,False,False,True,
546,pro-fast,phentermine,False,False,True,
547,anorex-sr,phentermine,False,False,True, pill
548,weight-loss_drug,phentermine,False,False,True,
549,pardalis,phentermine,False,False,False,
550,phentamine,phentermine,pheniramine,False,True,
551,phentrazine,phentermine,False,False,True,
552,preludin,phentermine,phenmetrazine,False,False,
553,suprenza,phentermine,False,False,True,
554,adipex-p,phentermine,False,False,True,
555,lomaira,phentermine,False,False,True,
556,qsymia,phentermine,phentermine,True,True,
557,suprenza,phentermine,False,False,True,
558,ionamin,phentermine,False,False,True,
559,pro-fast,phentermine,False,False,True,
560,zantryl,phentermine,False,False,True,
561,phentamine,phentermine,pheniramine,False,True,
562,phentramin-d,phentermine,False,False,True,
563,fastin,phentermine,phentermine,True,False,
564,adipex,phentermine,phentermine,True,True,
565,pro-fast,phentermine,False,False,True,
566,oyxcodone,phentermine,False,False,False,
567,hydroxycut,phentermine,False,False,False,
568,phentercot,phentermine,False,False,True,
569,suprenza,phentermine,False,False,True,
570,phentolamine,phentermine,phentolamine,False,False,
571,sibutramine,phentermine,sibutramine,False,True,
572,fluoxetine,phentermine,fluoxetine,False,False,
573,orlistat,phentermine,orlistat,False,False,
574,bupropion,phentermine,bupropion,False,False,
575,lorcaserin,phentermine,lorcaserin,False,False,
576,monoamine_oxidase_inhibitors,phentermine,False,False,False,
577,anorectic,phentermine,False,False,False,
578,anorexigenic,phentermine,False,False,True, pill
579,appetite_suppressant,phentermine,False,False,True, pill
580,ionamin,phentermine,False,False,True,
581,tenuate,phentermine,diethylpropion,False,True,
582,bontril,phentermine,phendimetrazine,False,True, pill
583,didrex,phentermine,benzphetamine,False,True,
584,meridia,phentermine,sibutramine,False,False,
585,zotrim,phentermine,False,False,False,
586,anorectic,phentermine,False,False,False,
587,lorcaserin,phentermine,lorcaserin,False,False,
588,phendimetrazine,phentermine,phendimetrazine,False,True,
589,phentermine,phentermine,phentermine,True,True,
590,qsymia,phentermine,phentermine,True,True,
591,sibutramine,phentermine,sibutramine,False,True,
592,topiramate,phentermine,topiramate,False,True, pill
593,zantryl,phentermine,False,False,True,
594,hemine,phentermine,False,False,False,
595,fentermine,phentermine,False,False,True,
596,diethylpropion,phentermine,diethylpropion,False,False,
597,sibutramine,phentermine,sibutramine,False,True,
598,phentermax,phentermine,False,False,True,
599,phentrol,phentermine,False,False,True,
600,pro-fast,phentermine,False,False,True,
601,anorex,phentermine,diethylpropion,False,False,
602,obestat,phentermine,False,False,True, slang
603,adipex-p,phentermine,False,False,True,
604,reductil,phentermine,sibutramine,False,True, slang
605,lomaira,phentermine,False,False,True,
606,adipex,phentermine,phentermine,True,True,
607,qsymia,phentermine,phentermine,True,True,
608,belviq,phentermine,lorcaserin,False,False,
609,contrave,phentermine,naltrexone,False,False,
610,saxenda,phentermine,liraglutide,False,False,
611,lomaira,phentermine,False,False,True,
612,adipex,phentermine,phentermine,True,True,
613,suprenza,phentermine,False,False,True,
614,fastin,phentermine,phentermine,True,False,
615,anorectic,phentermine,False,False,False,
616,adipex-p,phentermine,False,False,True,
617,anorectic,phentermine,False,False,False,
618,anorexigenic,phentermine,False,False,True, pill
619,anti-obesity_drug,phentermine,False,False,True, slang
620,weight_loss_drug,phentermine,False,False,True,
621,bitter_orange_extract,phentermine,orange,False,False,
622,chromium_picolinate,phentermine,chromium_picolinate,False,False,
623,caffeine,phentermine,caffeine,False,False,
624,guarana,phentermine,False,False,False,
625,weight_loss_pills,phentermine,False,False,True,
626,diet_pills,phentermine,False,False,True,
627,appetite_suppressants,phentermine,False,False,True, pill
628,phentrazine,phentermine,False,False,True,
629,anorectics,phentermine,False,False,True, drug
630,adipex,phentermine,phentermine,True,True,
631,anorectic,phentermine,False,False,False,
632,anoretic,phentermine,False,False,True, pill
633,appetite_suppressant,phentermine,False,False,True, pill
634,lorcaserin,phentermine,lorcaserin,False,False,
635,qysmia,phentermine,topiramate,False,True,
636,belviq,phentermine,lorcaserin,False,False,
637,contrave,phentermine,naltrexone,False,False,
638,saxenda,phentermine,liraglutide,False,False,
639,phentermine/topiramate,phentermine,False,False,True,
