index term	DrugBank ID	widely discussed	GPT-3 synonyms
diphenoxylate	DB01081	False	'difenoxylate','lemotil','co-phenotrope','difenoxilate','lomotil','diphenoxate','anti-diarrheal_medication','lometil','pepto_diarrheal','lomitril','dipivefrin','dipentum','diphenox','diphenoxylic_acid','diphe-noxi-lute','diphenoxylate_hydrochloride','diphenox_late','lomitil','diphenoxymethane','atropine/diphenoxylate','lomatin','diphenoxyl','diphenoxylate','diphenoxilated','us:_lomotil','uk:_co-phenotrope','diphenoxylate-atropine','lofenoxal','diphenex','phenotil','phenoxylate','lomotilee','enteric_coated_diphenoxylate','diphenoxy','bemidone','co-phenoxylate','dophenoxylate','lomocot','dipheoxylate','atropane','lomotil_at','lomotil_tabs','mylan-diphenoxylate','apo-diphenoxylate','phenoxymethyl-diphenoxy','phenoxy-diphenoxy','lomatril','atrophen','lomotility','lopox','diphenoxilate','difenoxilat','atropin','diphenoxylic_acid_ester','rectal_suspension_usp_(diphenoxylate_hydrochloride_and_atropine_sulfate)','diphenylate','trs-diphenoxylate','other_names_for_diphenoxylate','lomophen','deodorized_tincture_of_opium','dephenoxylate','lomatil','lometic','atropine_sulfate','defenoxin','robinson's_tincture','phenoxide','diphenolate','diphenyloxylate','anti_diarrhea_medication','atropil','dimotil','enteric-coated_diphenoxylate_with_atropine_sulfate'
flurazepam	DB00690	False	'flutoprazepam','flurazepam','flupazepam','fluvazepam','flurazepam_hydrochloride','flurazepamum','flurazepam_dihydrochloride','flurazepam_monohydrochloride','flurazepam_sulfate','flurazepam_tartrate','flurazepam_oxalate','flurazepam_malate','flurapam','fluazepam','flurazepam_monohydrate','flurazepam_oxazepam','flurazepam_prazepam','flurazepam_quazepam','dalmane','flurazepam_diazepam','flurazepam_temazepam','flurazepam_alprazolam','flurazepam_lorazepam','flurazepam_clonazepam','flurozepam','flurazepam_oral','flurazepam_tablet','fluraze','fluraz','fluzepam','flutazepam','flúrazepam','flutazolam','flunazepam','fluradoline','flurezepam','fl_utoprazepam','fluclozepam','fluress','fluozepam','flurazepan','florazepam','flurazolam','flurazepine','fluraz_sleeping_pill','flurazepam_sleeping_medication','a_sleeping_pill_called_flurazepam','flumazepam','flurazepam_oxide','flurazepam_sulfoxide','flura­zepam','flurazepam_hydroxide','flurszepam','flugazepam','fosazepam','flurazepam_hydrochloride_monohydrate','flurazepam_dalcon','fluraxepam','flurasepam','flusepam','flurazepam_glucuronide','flurazepam-n-oxide','flurazepam_chloride','fludazepam','flutiazepam','fluranzepam','flurazam','fluripam','flurez','loflazepam','norflurazepam','flurazepamb','dalmadorm','flurzepam','flurazepans','flurazepams','flurazepam_dalmane','flurazepam_hydrochloride_dalmane','flurazepam_hydroxyzine','flurazepam_hydroxypropylmethylcellulose','flurazepam_phosphate','flurazepam_propylene_glycol','flurazepamon','flurazepame','fluzapam','flufazepam','flurazopam','flurazepamd','flurazepamdi','flurazepamid','flurazepamin','flazepam','fluorazepam','flurazepamo','flurazem','flurazepam_nitrazepam','flurazepam_zolpidem','flurazepam_hydrate','flupam','flurazapam','furazepam','flurazepam_acetate','flurazepamhydrochloride','flurazepam_diazepoxide','flurazepaman','flurazepamden','flurizepam','narcozep','flurazepam_flunitrazepam','flurazepam_halazepam','flurazeam','flurazape','flurazepam_citrate','flurazepam_maleate','flunitrax','flirazepam','quazepam_dalmane','flurazepam_triazolam','flurazepam_(dalmane)','flurazepam_mesylate','flurazepam_sulfone','flurazepam_iodide','flurazepam_bromide','generic_flurazepam','brand_flurazepam','desmethylflurazepam','flurozepam_hydrochloride','lurazepam','frurazepam','fluspi','flurazepam_monoxide','flurazepam_hydrochloride_salt','hydroxyflurazepam','dalman','3-hydroxyflurazepam','n-hydroxyflurazepam'
midazolam	DB00683	False	'midozalam','midazalam','hypnovel','dormicum','dormonid','midazolamum','midaz_','meperidine','midazepam','medazepam','midazo','midaz','midazolam','miazolam','mizolam','calmidazolam','midasolam','midazolan','midlazolam','midrazolam','midsolam','midozolam','midazolam_hydrochloride','flormidal','mephobarbital','midazolae','amidate','midazol','midazolum','medazolam','midolam','madazolam','midazolom','midazolame','sedazolam','mid_sedative','midazole','mid-azolam','midazolim','versed','mydazolam','midzolam','midazolone','bedaze','anterograde_amnesia','midazolem','midazom','imidazolam','haldol','midazolam_sulfate','midazolam_tartrate','midozal','transcorneal_midazolam','dormitum','midazel','metazolam','intramuscular','metozolam','midazolam_hcl','midazol_metabolite','midazolam_chloride','midazolam_maleate','midozalom','idazolam','me_theophylline_azolam','dormitol','dazolam','midaz_plus','midaxolam','c_lorazepam','midazolamo','modazolam','mazolam','dosed_with_midazolam','under_the_influence_of_midazolam','midazam','midazopam','midozepam','midazolam_lactate','midazolam_bitartrate','midazin','midazolam_injectable','midazal','midazolam_injection','dormitorium','midazilam','midazoles','miadazolam','taking_the_midazolam','feeling_the_effects_of_midazolam','feeling_dizzy_from_midazolam','feeling_lightheaded_from_midazolam','feeling_drowsy_from_midazolam','feeling_sleepy_from_midazolam','feeling_sedated_from_midazolam','midazoline','midalom'
ketobemidone	DB06738	False	'd-ketobemidone','l-ketobemidone','racemic_ketobemidone','(s)-ketobemidone','(r)-ketobemidone','ketobemidone_hydrochloride','ketobemidone_acetate','ketobemidone_sulfate','ketobemidone_phosphate','ketobemidone_chloride','keto-bemidone','bemidone_hydrochloride','ketobemidone_tartrate','ketobemidone_lactate','ketobemidone's','ketobemidone-based','ketobemidone-containing','nor_ketobemidone','ketogan_hydrochloride','ketobemidone_salts','ketobemidone','dimenoxadol','ethoheptazine','ketobemidone-like','p_ketobemidone','9-hydroxy-ketobemidone','11-hydroxy-ketobemidone','ketobemidones','fentanyl,_ketobemidone','ketonic_where_to_buy_ketobemidone','m-ketobemidone','co-ketobemidone','drug_ketobemidone','keto_bemidone'
carfentanil	DB01535	False	'fluoroacetyl_fentanyl','carfentanyl','carfentanil','car_fentanyl','carfenol','carfenail','carfenanyl','carfenanil','karafentanil','carfenatil','carfanatil','benzylfentanyl','carfentanyl_hydrochloride','cis-3-methylfentanyl','carfentrazone','carfentynyl','carfenyl','carfen','carfenantil','carfentayl','furanyl_fentanyl','acetyl_fentanyl','4-anilino-n-phenethyl-4-piperidine','acetyl-fentanyl','despropionyl_fentanyl','('wildnil')','carfentan','norfentanyl','(rs)-4-fluorofentanyl','(s)-4-fluorofentanyl','4-methylfentanyl','acrylfentanyl','karfentanil','quaternary_ammonium_fluorinated_carfentanil','carfentanilum','carfentail','n-1-(2-phenethyl)-4-piperidinyl)-n-phenylfentanyl','n-(1-phenethyl-4-piperidinyl)-n-phenylfentanyl','4-methyl-_carfentanil','carfentanil_hydrochloride','[any_other_synonym_for_carfentanil]','carfetanyl','carfetanil','n-[1-(2-phenylethyl)-4-piperidinyl]-n-phenylpropanamide','carphentanil','carfenan','carfeantanil','carfent_anyl','dsuvia','carfent_series','n-(1-(2-phenethyl)-4-piperidinyl)-n-phenylpropanamide','carphenyl_fentanyl','[(3-methoxy-phenyl)-(1-(2-phenylethyl))-piperidinyl]-oxy','carfenatyl','n-(1-(2-phenylethyl)-4-piperidinyl)-n-phenylpropanamide','carfentenyl','orange_carfentanil','ocfentanil','carfentine','(r)-(-)-carfentanil','(s)-(+)-carfentanil','carfentyl-3-ol','carfentan-3-ol','(r)-(+)-carfentanil','fentanyl_derivative','thiofentanyl','furanylfentanyl','lofentanyl','carfentenil','super_potent_fentanyl','carpentanyl','carfentynal','carpanyl','carfentantil','carfentan-1-ol','carfentanil_oxide','carfenazine','carfentanyl_oxide','carfental','phenoperidine','carfentaiol','fentanyl_carfentanil','carfentani','carfentane','carfentanyls','carfentinyl','carfentinal','carfenfanil','carfentanilum_(latin)','n-(4-carbomethoxy_fentanyl)','β-hydroxyfentanyl_(β-hf)','acetyl-fentanyl_(acet-f)','carfentanyl_analog','carfentanil_homolog','3-methyl-fentanyl','n-phenyl-norfentanyl','carfentanile','carphenol','norfentanil','n-phenyl-n-(4-piperidinyl)-furan-2-carboxamide','carfentnyl','carfentanol','(r)-carfentanil','(s)-carfentanil','(2s,3s)-carfentanil','(3r,4r)-carfentanil','(4s,5s)-carfentanil','racemic_carfentanil','carfentanyl_chloride','carfentamin','cafentanil','carfentinol','carfentina','carfentanal','carfentyl','paraflur_fentanyl','carfentynol','carbonyl_fentanyl','carfeninal','carbamoyl_fentanyl','carfentanilo','n-[1-(2-phenethyl)-4-piperidinyl]-n-phenylpropanamide','4-[1-(2-phenethyl)-4-piperidinyl]-n-phenylpropanamide','carfenil','carfen_class_','carfentanial','carfent_anil','carfenyl_fentanyl','(+)-3-methylfentanyl','carfent_neurala','carfentany','cafentyl','carfen_...','carfinyl','carfentan-ol','(s)-n-(1-phenethyl-4-piperidinyl)-n-phenylpropanamide','n-(4-carbomethoxyfentanyl)','propyl_fentanyl','rfentanil','r-norfentanyl','desmethyl_fentanyl','carentanyl','carfentanyl_base','carfent','carfentazone','acetyl-carfentanil','carfentanylit','carfentiol','acetyl_carfentanil','(r)-(−)-carfentanil','carfentanil_sulfate','carfentanil_acetate','wildnil','carfenta','carfeinal','(-)-carfentanil','n-(1-(2-phenethyl)-4-piperidinyl)-n-phenylfentanyl','carefentinal','3-methyl_fentanyl'
dextromoramide	DB01529	False	'moramide','moramid','palfium_sulfate','dextromoramide_sulfate','palfium_chloride','dextromoramide_chloride','right-handed_moramide','levomoramide','dextrorotatory_moramide','dextramor','racemoramide','anileridine','dimenoxadol','palfium','dextromoramide','dextromoramid','d-moramide','dextrorotary_moramide','(+)-moramide','r-dextromoramide','(-)-dextromoramide','dextromethylmoramide','active_ingredient_in_palfium','palfium_moramide','dextromoramide_pentanesulfonate','nordextromoramide','dextromoramide_tartrate','dextromoramide_hydrochloride','palfium_salt','dextromoramide_salt','racemic_moramide','(r)-dextromoramide','(s)-dextromoramide','(±)-dextromoramide','right-handed_isomer_of_moramide','(+)-isomer_of_moramide','palfilm','palfiurn','palfium_acetate','destromoramide','palf-ium','dextro-moramide','palfi-um','dextromora-mide','l-dextromoramide','dextro-palfium','methylmoramide','nebulized_dextromoramide','intranasal_dextromoramide','pulmonary_dextromoramide','intramuscular_dextromoramide','subcutaneous_dextromoramide','rectal_dextromoramide','s-(+)-dextromoramide','right_sided_palfium','right_handed_palfium','detromoramide','n-dextromoramide','palfium_oxide','dimorlin','palfium_sulphate','left-handed_moramide','(d)-moramide','palfium_hydrochloride','s-moramide','more_ways_to_say_dextromoramide:','(-)-isomer_of_moramide','the_right-handed_isomer_of_moramide','dextromethorphan_moramide','dextromoramide-l','dextromoramide-d','(d,l)-dextromoramide','right_handed_isomer_of_methadone','alphaprodine','bezitramide','(r,s)-dextromoramide','s-dextromoramide','racemic_dextromoramide','dextrorotatory_diamide','pseudo-palfium','d-palfium','(dextro)_(+)-isomer_of_moramide','alpha-dextromoramide','beta-dextromoramide','theta-dextromoramide','gamma-dextromoramide','mu-dextromoramide','delta-dextromoramide','kappa-dextromoramide','epsilon-dextromoramide','lambda-dextromoramide','zeta-dextromoramide','omega-dextromoramide','tromoramide'
tapentadol	DB06204	False	'tapentadol','tapenta','topenta','nucynta_er','tapentatol','tapentadol_hydrochloride','tapetadol','tapendatol','tapentas','tapendol','atypical_opioids','tapentol','topentadol','tapen_trade','tapentodol','tapentadol_tartrate','tapentadol_hcl','tapentadol_sulfate','tapentadol_acetate','tapentadol_phosphate','tapentadol_rescue','tapental','tapentanol','tapentado','tapenadol','tapentaq','tapent_hold','tapent_top','tapentadol_cr','tapentadol_er','tapendal','tapentdol','trapentadol','tapentidol','tadol','nucynta','tapentadal','tapentafol','tappan_dol','tapent_tablets','tapentad','aspadol','taentadol','tapentrol','palexia','nycunta_tapentadol','ta_tapal','tepentadol','tapendadol','tapal_general','tapentadols_hydrochloride','tapentadol_hydrochlorides','tapent_admitting','tapentadols','tapent_going','tapal_nil','tapandol','tapent_acute','tepenta','tapentadol_propionate','tapentadol_butyrate','tapentadol_valerate','tapentadol_other_salts','tapentadol_immediate_release','tapentadol_extended_release','tapentadol_oral','tapentadol_intramuscular','tapentadol_subcutaneous','tapentadol_rectal','nyucenta-tapentadol','nyucenta_tapentadol','tapent_a_total','tapentadols_tapentadol','ir_tapentadol','tapentadol_extended-release','tepantadol','tapentadol_oxalate','tapent_zydol','tapenta-od'
thiopental	DB00599	False	'thiopental_sodium','brevital','thiophenolate','pentothal','thiopental_sodium_salt','pentothal_sodium','thiopentone','thiophenol','sodium_thiopental','thiophen','5-thiopentyl_alcohol','thiopentobarbital','thiopenta','pentathol','sodium_pentothal','tiopental','pentobarbital_sodium','thiopentan','thiopentane','thiopentyl','thiopentone_sodium','thiopentyl_alcohol','thiopental','thiopental_acid','thiopentothal','thiopentalum','thiopenthal','thiopentol','na_thiopental','thiobarbital','thiopentobarbitone','trapanal','amytal_sodium','thiopetal','thiamylal','thiop_monitor','thiopental_anhydrous','penthal','sodium_thiopenthal','pentothol','thiopentas','thiopental_icu','short-acting_barbiturate','_5._thiopental_sodium,_thiopental_sodium_salt','thiopental_na','thiopental_oxide','truth_serum','thiopentalic_acid','thiopent_sodium_pentothal','penthothal','thiopental_strychnine','rand_name:pentothal','phenobarbital_thiophene','sodium_pentobarbital','thiopen','thiopentanes','penthotal','thiopent','phenylthiol','propiophenone_thiopental','2-methyl-1,3-propanediol_thiopental','thiopental_alcohol','pentotal','sodium_pentathol','thiopental_base','s(+)-thiopental','r(+)-thiopental'
lisdexamfetamine	DB01255	False	'elvanse','lisdex','lisdexamfetamine_dimesylate','lisdexamfetamine','l-lysine-d-amphetamine','lisdexamfetamines','lisdexfetamine','dextroamphetamine-lisdexamfetamine','adhd_medication','lysdexamphetamine','lisdexamfetamine_mesylate','dexamfetamine_lysine','vyvanese','lysdexamfetamine','lisdexafetamine','vyvansa','lisdexamfetamine_hydrochloride','lis-dexamfetamine','lis_amphetamine','elvanse_lps','vyvanse_capsules','vyvanse_chewable_tablets','vyvanse_tablets','vyvanse_capsule','vyvanse_medication','lisdexanfetamine','lisdexamphetamin','dexamfetamine_lisdexamfetamine','isdexamfetamine','other_stimulant_medications','dexamfetamine_prodrug','invyvanse','vyvanse_generic','dexamphetamine_lysine','lisd_dexamphetamine','lisdexamphetamine_sulfate','dexamphetamine_lisdexamfetamine','lidexamfetamine','lisdexamfetamin','vyvanse_fioricet','dimesylate','vyvanse_hydrochloride','vyvan_or_vyvanse','lisdexamfetamine_tartrate'
diethyltryptamine	DB01460	False	'tryptamine_diethylamine','diethyltryptamine_hydrochloride','tryptamine_diethyltryptamine','tryptamine_diethyl_ester','n,n-diethyltryptamine','n,n-ethyl-5-methoxy-tryptamine','tryptophan_diethyltryptamine','isopropyltryptamine','0-diethyltryptamine','n-ethyl-tryptamine','tryptamine-derived_diethyltryptamine','ethyl_tryptamine'
methaqualone	DB04833	False	'quaaludes','mandrax','methaqualon','methaqualine','ludes','quaalude','methaqualone','methaqulone','methaqualone_pills','methaqualones','qualludes','quaalude_pills','quaalude_tablets','lude','mebroqualone','mecloqualone','methaqualone_hydrochloride','qualudes','qualude','disco_biscuits','quallude','levo-methaqualone','metaqualone','qaalude','disco_biscuit','methylmethaqualone','meth_quaal_one','subway_quaaludes','methaquaalone_hydrochloride','lemmon_714','methaqualonum','methaqualone_tablets','dormutil','mquaalude','the_quaaludes','trade_name_quaalude','cloroqualone','diproqualone','aqua-ludes','quaalone','qualuudes','sopor','doriden','aqua_lude','aqua_quaalude','meth_quaalone','meth_qualone','luding','methaquaalone','qualone','methaquolone','somnafac','aqua_ludes','qaalude_tablets','qaaludes','methapyrilene','methqualone','hypnotics','methaqualone_sulfate','methaqualone_acetate','methaqualone_phosphate','quaalones','queludes','methaquaalude','methaq','methaqaulone','methaqualone_analogues','methaqual','disco_pills','methaquinol','methaquilone','hypnotic','mandrex','benzo_quaalude','methaqua','methaqualone_nitrate','ethaqualone','quayludes','methaqualone_sodium','qaludes','methaqalone','m-quaalude','aqua-lud','methy_ludes','qua_the','methy_quaalon','latrogenic_ludes','qua_ludes','soporific','quinoline'
perampanel	DB08883	False	'perampanel','fycompa-accompa','perampanel-accompa','fyompa','generic_names:_perampanel,_fycompa','perampanel_pills','perampanel_tablets','perampanel_hydrochloride','seletive_ampa_receptor_antagonist','fycomp','teva_perampanel','perampane','perampanel_tabs','ampa_panel','accompa-fycompa','perampanel-fycompa','fycompa-perampanel','accompa-perampanel','perampanel_tartrate','fycompa','fycompa_er','peram_iv','peram_v','peram_orion','perampanel_oxide','roche-perampanel','peram_wein','ampa_receptor_antagonist','permapanel','fycopa','telampanel','fycompa_hcl','perampanil','ampanil','fyampa','open-label_perampanel','perampanel_treatment','peram_gig','peram_global','peram_green','peram_health','peram_home','teva-perampanel','ycompa','peram-p','perampanel_phosphate','a_peram','fycompa-plus','fycamp','fycompa-q','perampanele','perampanal','fycompa_xr','pam_of_these,_perampanel_and_fycompa_are_the_most_common.','fycompa_hydrochloride','perampanel_xr','peram-pa','peram-pan','peram-panl','perampant','perampaqn','prampanel','using_perampanel','perampanel_xl','perampanel_2','perampanel_3','fycompa-xr','ani,_perampanel','ani's_perampanel','co-perampanel','prepanel','perampanel_and_fycompa','perampanel_and_accompa','peranel','ampanel'
buprenorphine	DB00921	True	'zubsolv','suboxone','buprenorphine_hydrochloride','buprenex','butrans','norspan','buprenorphin_e','buprenorphene','bupenorphine','subutex','buprenorphin','temgesic','buprenorphinum','buprenorpine','byprenorphine','suprenex','buprenorphine','buprenorphine_sulfate','buprenorphines','sublocade','sublingual_buprenorphine','buprenorphan','bunavail','buprenorphine/naloxone','neonatal_abstinence_syndrome','prefin','buprenorphinr','sublinox','buprinorphine','buprenorfin','probuphine','burprenorphine','buprenorph_same','burrenorphine','belbuca','subornox','temgesics','buprenorphin_hydrochloride','buprenorphane','suboxin','suboxen','p_addicted','bupren','bruprenorphine','buperenorphine','buprenorphone','subuxone','transmucosal_buprenorphine','buprenophone','buprenorfine','suboxene','subatec','transdermal_buprenorphine','buprenaline','bupe','buprenorfina','buprenorfine_hydrochloride','buprenorfin_hydrochloride','buprenorphine_base','naxalone','buphenorphine','suboxon','naloxon','brand_names:_subutex,_suboxone','subtex','uboxone','suboxones','bupnorphine','bup','subby','buprenorph_opioids','butec','bupreorphine','buprenephrine','buprenorphon','norbuprenorphine','buprenorph','buperenorphin','utrans','bunrenorphine','buprenorphium','subutin','subatin','burpenorphine','buronorphine','burphrenorphine','subxone','buprenorphine_implants','buprenorphine_injectable','buprenol','detoxification','suboxone_film','sublingual_film','subbies','withdrawal_management','buprinorphines','bupreneorphine','bupranorphine','subytex','prefenta','buprenlorphine','prebuprenorphine','buprenorphne','extended-release_naltrexone','buprenorphion','ubutex_','ubutex','r-buprenorphine','butorphanol_tartrate','subies','bupronorphine','subitex','suboral','butrenorphine','opioid_replacement_therapy','bupnorphin','norfin','buprenorphina','intranasal_buprenorphine','bupernorfin','bupernorphin','subsutex','buprenorphins','burpronorphine','buprenorphic','buprenorphine_transdermal_system','burprenex','buranorphine','bungesic','belbucca','subzonal','norphine','butranorphine','buprenorine','sub_line','burinorphin','subotex','subitrex','buprenorphine_tartrate','butex','subutas','bupresnorphine'
phendimetrazine	DB01579	False	'bontril','phend','plegine','phendimetrazine','mazanor','brontril','phendimet','phendimetrazin','phend_robbing','phend_thieves','related_medications:_phentermine,_bupropion,_diethylpropion,_mazindol','phendimetrazine_tartrate','melfiat','prelu-2','phendimetrazines','phendimetrine','anorex-sr','elixir_of_phendimetrazine','elixir_of_bontril','extract_of_phendimetrazine','extract_of_bontril','liniment_of_phendimetrazine','liniment_of_bontril','lotion_of_phendimetrazine','lotion_of_bontril','ointment_of_phendimetrazine','ointment_of_bontril','paste_of_phendimetrazine','paste_of_bontril','salve_of_phendimetrazine','salve_of_bontril','salve_of_didrex','solution_of_phendimetrazine','solution_of_bontril','suppository_of_phendimetrazine','suppository_of_bontril','syrup_of_phendimetrazine','syrup_of_bontril','tablet_of_phendimetrazine','tablet_of_bontril','tincture_of_phendimetrazine','tincture_of_bontril','phendametrazine','phendim','phendimetrazone','phendall','dex_phenmetrazine','bontril_pdm','phendimetra','phendymetrazine','phl-phen','anorexsr','phendimetrazine_hydrochloride','bontril_phendimetrazine','bongril','phendetrazine','phenometrazine','bontril_slow_release','phendiet-105','phendimed','phendimet-15','phendimet-30','phendimet-50','phendimet-75','hendimetrazine','most_commonly_used_brand_name_is_bontril.','phentral','bontril_sr','wehless','phendimetraz','appecon','s-enantiomer_of_phendimetrazine','phenterzine','phindimetrazine','bongiral','phenimetrazine','phendimetrazen','phendimetrazine_bitartrate','phendimetrazine_succinate','phendimetrazine_phosphate','phendime','phendimet_type_ii','phendimetraz_life_in_jail','phendictrin','phendimetrazene','phendu','adipometrazine','benzophenylmetrazine','phendet','phendametrin','ethyl-phenmetrazine','bontril_fda','sympathomimetic_amine','phendimetrazine_sulfate','phendimetrazine_lactate','phendimetrazine_gluconate','no_phendimetrazine','phendrametrazine','phenmetrazine_tartrate','def_of_phendimetrazine','phendimetrazine_supporters','phendimetrazine_advocates','didrex_anorex','phend_message','phend-i-metrazine','phenylphendimetrazine','phendimetrazinium','phendimetrazinum_chloride','dimetrizine','phendimetryne','phendimetalityn','phendimethrin','phendimetrazine_(generic)','brotril','adipomet','buntril','obex','endimetrazine','phendimetrazne'
barbital	DB01483	False	'barbituric_acid','sodium_barbital','barbital_sodium','barbitone','thiobarbital','barbitonic_acid','barbital_acid','jen_barbital','allobarbital','heptabarbital','barbitones','veronal','barbital_hexanyl','barbitalum','calcium_carbrital','abarbital','barbitol','barbitol_sodium','hexobarbital_sodium','norbarbital','diethylbarbituric_acid','barbitals','aprobarbital','second,_barbital','barbitate','barbitual','tego_barbital','barbital','diallyl_barbiturate','barbitrate','barbitarate','talal_barbiturate','fulminal_barbiturate','ethylbarbituric_acid','biobarbital','diethyl_barbiturate','ethyl_barbiturate','barbit_one','thiobarbitol'
ethchlorvynol	DB00189	False	'placidyl','placidyll','chlorvynol','ethchlorvynols','placydils','plasidyl','chlorovinyl','chlorovynol','?-chlorovinylethyl_alcohol','dom-placidyl','y-irradiated_ethchlorvynol','placidal','placidyl-d','placidyl-e','brand_name:_placidyl','placidyls','generic_name_for_placidyl','ethyl_2-chlorovinyl_ether','placydil','ethchlorvinyl_alcohol','diethyl_chlorovynyl','ethchlorvinyl','placidyl_alcohol','placidyl_elixir','chlorovinyl_alcohol','ethchlorvynol','ethchlorynol','chlorovinyls','chlorvynols','placidyls'','plaidyl','placidylr','placidel','chlorvyn','chlorvynyl_alcohol','plaidyls','a_href=https://www.drugs.com/international/ethchlorvynol.html>ethchlorvynol</a>','<a_href=https://www.drugs.com/international/ethchlorvynol.html>ethchlorvynol</a>','ethylchlorvynol','plasidyls','chlorovyn','d-chlorvynol','ethyl_chlorovinyl_ether'
fenethylline	DB01482	False	'fenethylline_hydrochloride','fenetyline','fenetyllin','fenethyline','fenethylene','fencamfamin','fenetylin','fenetylline','fenetilline','fenethylline','fen-o-thyl','fen-ethyl','fenethyllin','catagon','biocapton','fenetylline_hydrochloride','chemicals_similar_to_fenethylline','phenethylline','fenethylline_sulfate','fenethylline_acetate','fenethylline_oxalate','fenethylline_tartrate','fenethylline_pamoate','phenetylline_hydrochloride','cabtagon','enfenethylline','mesocarb','fenethylline_hcl','fenethylene_glycol','ethyltheophilline','d-fenethylline','l-fenethylline','amfetyline','fenetillin','kaptagon','fenethylline_methanesulfonate','fenoxazoline','ceptagon','prodrug_of_amphetamine','succinate_ester_of_fenethylline','fenprorex','fenethylline_oxide','elixir_of_fenethylline','fenetyllin_hydrochloride','fenethylline_pills','captagon','ethyltheophylline','captagone'
estazolam	DB01215	False	'stazolam','estazolam_hydrochloride','estazolamum','estazolam','estazolom','estazalam','generic_estazolam','estazolam_brand','etazolam','eszolam','stasolam','estazol','estozolam','etozolam','estazolam_sulfate','eatazolam','sleep_medication','estasolam','estrazolam','eurodin','esazolam','estazolami','estazolamu','estaolam','esta_zolam','etazolam_chloride','estaplam','estazepam','estazolum','étazolam','estazolas','etazolam_hydrochloride','prosom','fenazolam','eastazolam','neo_stazolam','versions_of_estazolam:','estazolamet','estazolan','estazolamb','sleepwalk','estazam','estizolam','eta-zolam','alpha-etazolam','beta-etazolam','gamma-etazolam','delta-etazolam','zeta-etazolam','estaz','zoldac,_prosom','prozom','alodorm','brand-name_estazolam','estalzolam','estolam','apo-estazol','estazolam_chloride','e-tazolam','eztazolam','oestazolam','estazolam_tartrate','estazolam_mesylate','brand_name:_prosom'
nabilone	DB00486	False	'nabilon','nabilan','nabilos','nebilone','nabilne','naboline','nabilond','nabilonex','tabalone','nabiline','nabilone','nabitan','nabumeton','nabiloneum','nabilin','nabolone','nabilonel','cesamet','cesemet','nabilol','nebulon','nabilone_acetate','cannabinol','nablone','nabilun','n_of_nabilone','nabilone_pharmaceutical_preparations','nabilone_generic_products','nabalone_medication','cesamet_medication','levonantradol','nabolin','navalone','netalone','nibalone','nobalone','nabilone_hydrochloride','nabalon','cesamates','nablon','nabilen','nabil_known','nabalone','d-(-)-nabilone','marijuana','pot','acetate_nabilone','nabilone_cinnamate','nabutone','nabilong','nabilose','nabilone_propionate','nabilone_butyrate','nabilone_valerate','nabilone_caproate','nabilone_hexanoate','nabilone_enanthate','nabilone_cypionate','nabumet','cesmet','nabilono','nabilons','navelone','cannabinoid','endocannabinoid','nabilonee','thc','nabilown','ajulemic_acid','nabilonum','valone','nabitol','nabil_one','esamet','nabilans','nabilome','<other_ways_to_say_nabilone>','nabalone_capsules','nabalone_tablets','nalibone','marinol','nabinol','nabazenil','nebalone','abalone','nabilone_distate','nabilone_caprylate','nabil_feces','nabilone_injection','nabilone_intramuscular','nabilone_intranasal','nabulone','nabilon_sulfate','nabilones','nabilona','nabilone_sulfate','nabilone_phosphate','pharmaceutical_grade_synthetic_thc','nabil_aids','nabilone-2','nabilone_oxide','nabilone_monohydrate','nabilone_tartrate','nabil-one','nabil_response','nabil_customer_service','cesamet_only','cesamet/nabilone','naxalone/nabilone','cesamet_and_nabilone','nabil_2','nabil_improve','nabilone_mesylate','nabilone_hydroxyphenylacetate','cesamets','nabilone_chloride','n-abilone','nabil_food','cesamet_(brand_name)','nabilone_(brand_name)','nabilone_pills','nabilone_tablet','nabilone_capsules','nabil_c','nabilone_salts','cdb_is_a_synthetic_cannabinoid','cesamet-ge','nabilone-v','cesamet_edisylate','taking_the_cbd_oil','nabilone_lactate','nabilone_carbonate','nabilon_nab','nabilione','nabilonen','nabilonea','navilone','nabilomone','nabilon_e','nabil_quetiapine','cesamet_drug','nabil_senior','nabil_exp','nabil_ace','pill_form_of_marijuana','nabil_pharmaceutical','nabil_presents','nabilone_medication','nabilone_drug','nabilone_tablets','nabilone_treatment','these_are_all_different_brand_names_for_nabilone','nabil_interesting','nabil_needs','nabil_derivatives','nabalone_o','nabil_check','neo-nabilone','nabil_isnide','cis-nabilone','trans-nabilone','6-methoxy-trans-nabilone','nab_one'
